id,artist,song_name,year,song_length,song_url
1,Wreckx Shop,Rump Shaker,1992,04:01:00,https://www.youtube.com/embed/zdLvauICvPM
2,C+C Music Factory,Gonna Make You Sweat,1990,04:01:00,https://www.youtube.com/embed/LaTGrV58wec
3,Technotronic,Pump Up the Jam,1989,03:58:00,https://www.youtube.com/embed/9EcjWd-O4jI
4,Snow,Informer,1993,04:05:00,https://www.youtube.com/embed/TSffz_bl6zo
5,Ini Kamoze,Here Comes the Hotstepper,1994,04:07:00,https://www.youtube.com/embed/w0N4twV28Mw
6,Salt-N-Pepa,Shoop,1993,04:07:00,https://www.youtube.com/embed/4vaN01VLYSQ
7,Ce-CE Paniston,Finally,1993,04:03:00,https://www.youtube.com/embed/xk8mm1Qmt-Y
8,Crystal Waters,100% Pure Love,1994,03:16:00,https://www.youtube.com/embed/zQX2q6WCrbE
9,Deee-Lite,Groove is in the Heart,1990,04:50:00,https://www.youtube.com/embed/etviGf1uWlg
10,Mc Hammer,U Cant Touch This,1990,04:33:00,https://www.youtube.com/embed/otCpCn0l4Wo
11,Young Mc,Bust A Move,1989,04:06:00,https://www.youtube.com/embed/bQ_OMzKgNDQ
12,Diana King,Shy Guy,1995,03:43:00,https://www.youtube.com/embed/szjaHbjhauk
13,Color Me Badd,I Wanna Sex You Up,1991,04:05:00,https://www.youtube.com/embed/Oxu3pq319r0
14,T.L.C.,What About Your Friends,1992,04:16:00,https://www.youtube.com/embed/92gHq1s6G-c
15,Ghost Town DJs,My Boo,1996,03:29:00,https://www.youtube.com/embed/QxRiwnmYjMg
16,Prince and The New Generation,Cream,1991,06:03:00,https://www.youtube.com/embed/rrbFQEcpJ3A
17,Kris Kross,Jump,1992,03:54:00,https://www.youtube.com/embed/010KyIQjkTk
18,Vanilla Ice,Ice Ice Baby,1990,03:57:00,https://www.youtube.com/embed/rog8ou-ZepE
19,En Vogue,Free Your Mind,1992,04:14:00,https://www.youtube.com/embed/i7iQbBbMAFE
20,Bell Biv DeVoe,Poison,1990,04:56:00,https://www.youtube.com/embed/hgnhVcyLy1I
21,Cathy Dennis,Touch Me(All Night Long),1991,03:34:00,https://www.youtube.com/embed/5xiwxfxVUZA
22,C+C Music Factory,Here We Go Lets Rock and Roll,1991,06:29:00,https://www.youtube.com/embed/IyMHU1D0_Lc
23,E.M.F.,Unbelievable,1991,03:29:00,https://www.youtube.com/embed/sfCLt0kTd5E
